# port,duration,pkt_size,rate,mbps,mpps,loss
2,60,512,13.0000,3117.0964,0.7670,0.0165
3,60,512,13.0000,3117.6194,0.7671,0.0000
0,60,512,14.0000,3300.9084,0.8122,0.0281
1,60,512,14.0000,3300.7537,0.8122,0.0235
2,60,512,14.0000,3301.6612,0.8124,0.0075
3,60,512,14.0000,3301.6585,0.8124,0.0076
0,60,512,15.0000,3596.6636,0.8850,0.0157
1,60,512,15.0000,3596.9260,0.8851,0.0055
2,60,512,15.0000,3596.5600,0.8850,0.0269
3,60,512,15.0000,3597.5270,0.8852,0.0000
0,60,512,16.0000,3836.1035,0.9439,0.0303
1,60,512,16.0000,3835.7747,0.9438,0.0369
2,60,512,16.0000,3837.1749,0.9442,0.0088
3,60,512,16.0000,3837.4490,0.9443,0.0019
0,60,512,17.0000,4003.2760,0.9851,0.0938
1,60,512,17.0000,4003.6611,0.9852,0.0541
2,60,512,17.0000,4008.8382,0.9864,0.0019
3,60,512,17.0000,4008.1901,0.9863,0.0181
0,60,512,18.0000,4308.0782,1.0601,0.0795
1,60,512,18.0000,4307.4713,1.0599,0.0842
2,60,512,18.0000,4315.7424,1.0619,0.0186
3,60,512,18.0000,4316.5034,1.0621,0.0017
0,60,512,19.0000,4543.9202,1.1181,0.1053
1,60,512,19.0000,4544.9909,1.1184,0.0784
2,60,512,19.0000,4556.5396,1.1212,0.0159
3,60,512,19.0000,4557.2491,1.1214,0.0010
0,60,512,20.0000,4707.6290,1.1584,0.0760
1,60,512,20.0000,4697.7063,1.1559,0.2960
2,60,512,20.0000,4714.2661,1.1600,0.0240
3,60,512,20.0000,4715.3497,1.1603,0.0018
0,60,512,21.0000,5026.0255,1.2367,0.1283
1,60,512,21.0000,5029.3375,1.2375,0.0636
2,60,512,21.0000,5035.3157,1.2390,0.0230
3,60,512,21.0000,5035.1983,1.2390,0.0253
0,60,512,22.0000,5268.9030,1.2965,0.0987
1,60,512,22.0000,5269.4275,1.2966,0.1049
2,60,512,22.0000,5275.3714,1.2981,0.0105
3,60,512,22.0000,5275.5061,1.2981,0.0075
0,60,512,23.0000,5416.4946,1.3328,0.0864
1,60,512,23.0000,5356.6942,1.3181,1.1898
2,60,512,23.0000,5422.0566,1.3342,0.0086
3,60,512,23.0000,5421.6577,1.3341,0.0158
0,60,512,24.0000,5707.8971,1.4045,0.7819
1,60,512,24.0000,5703.1851,1.4033,0.8662
2,60,512,24.0000,5751.9018,1.4153,0.0298
3,60,512,24.0000,5753.5014,1.4157,0.0023
0,60,512,25.0000,5956.1820,1.4656,0.6209
1,60,512,25.0000,5980.2874,1.4715,0.2223
2,60,512,25.0000,5984.1502,1.4725,0.0075
3,60,512,25.0000,5983.7860,1.4724,0.0114
0,60,512,26.0000,6069.9371,1.4936,0.9401
1,60,512,26.0000,6094.6112,1.4997,0.5589
