port,duration,pkt_size,rate,mbps,mpps,loss
3,60,256,15.0000,818.7240,1.7057,0.0008
0,60,256,16.0000,493.9548,1.0291,43.3864
1,60,256,16.0000,416.2145,0.8671,52.2969
2,60,256,16.0000,872.9172,1.8186,0.0068
3,60,256,16.0000,872.9522,1.8186,0.0029
0,60,256,17.0000,567.1359,1.1815,37.7811
1,60,256,17.0000,374.7204,0.7807,58.8906
2,60,256,17.0000,911.7375,1.8995,0.0060
3,60,256,17.0000,911.7492,1.8995,0.0047
0,60,256,18.0000,534.1534,1.1128,45.6082
1,60,256,18.0000,312.4004,0.6508,68.1860
2,60,256,18.0000,981.8346,2.0455,0.0236
3,60,256,18.0000,981.8968,2.0456,0.0171
0,60,256,19.0000,566.1898,1.1796,45.4000
1,60,256,19.0000,391.6283,0.8159,62.2321
2,60,256,19.0000,1036.1446,2.1586,0.0170
3,60,256,19.0000,1036.1657,2.1587,0.0134
0,60,256,20.0000,600.3986,1.2508,44.0469
1,60,256,20.0000,375.5856,0.7825,64.9962
2,60,256,20.0000,1071.6748,2.2327,0.0346
3,60,256,20.0000,1071.6564,2.2326,0.0362
0,60,256,21.0000,618.7130,1.2890,46.0116
1,60,256,21.0000,418.6758,0.8722,63.4664
2,60,256,21.0000,1144.1811,2.3837,0.0454
3,60,256,21.0000,1144.3414,2.3840,0.0314
0,60,256,22.0000,653.1893,1.3608,45.5645
1,60,256,22.0000,418.3192,0.8715,65.1375
2,60,256,22.0000,1197.5311,2.4949,0.0584
3,60,256,22.0000,1197.5302,2.4949,0.0585
0,60,256,23.0000,645.1673,1.3441,47.6736
1,60,256,23.0000,434.5960,0.9054,64.7516
2,60,256,23.0000,1230.4849,2.5635,0.0442
3,60,256,23.0000,1230.5930,2.5637,0.0352
0,60,256,24.0000,684.3284,1.4257,47.7082
1,60,256,24.0000,448.3024,0.9340,65.7427
2,60,256,24.0000,1305.2900,2.7194,0.0767
3,60,256,24.0000,1305.4910,2.7198,0.0613
0,60,256,25.0000,740.3579,1.5424,45.6834
1,60,256,25.0000,360.6743,0.7514,73.5361
