port,duration,pkt_size,rate,mbps,mpps,loss
2,60,256,7.0000,1605.2570,0.7963,0.0067
3,60,256,7.0000,1605.3341,0.7963,0.0020
0,60,256,8.0000,1834.4375,0.9099,0.0028
1,60,256,8.0000,1834.4761,0.9100,0.0011
2,60,256,8.0000,1834.2739,0.9099,0.0126
3,60,256,8.0000,1834.5045,0.9100,0.0000
0,60,256,9.0000,2029.0271,1.0065,0.0117
1,60,256,9.0000,2029.0791,1.0065,0.0105
2,60,256,9.0000,2029.3030,1.0066,0.0000
3,60,256,9.0000,2029.0640,1.0065,0.0117
0,60,256,10.0000,2292.3695,1.1371,0.0173
1,60,256,10.0000,2292.3411,1.1371,0.0179
2,60,256,10.0000,2292.5889,1.1372,0.0098
3,60,256,10.0000,2292.6944,1.1372,0.0048
0,60,256,11.0000,2521.3441,1.2507,0.0104
1,60,256,11.0000,2521.0775,1.2505,0.0223
2,60,256,11.0000,2521.2326,1.2506,0.0215
3,60,256,11.0000,2521.2786,1.2506,0.0162
0,60,256,12.0000,2704.1410,1.3413,0.0337
1,60,256,12.0000,2703.4851,1.3410,0.0361
2,60,256,12.0000,2704.4337,1.3415,0.0411
3,60,256,12.0000,2703.5404,1.3410,0.0118
0,60,256,13.0000,2976.9750,1.4767,0.0920
1,60,256,13.0000,2977.3363,1.4769,0.0844
2,60,256,13.0000,2980.5235,1.4784,0.0177
3,60,256,13.0000,2974.1905,1.4753,0.0071
0,60,256,14.0000,3202.2037,1.5884,0.0637
1,60,256,14.0000,3201.4472,1.5880,0.1125
2,60,256,14.0000,3209.9261,1.5922,0.0182
3,60,256,14.0000,3208.7197,1.5916,0.0157
0,60,256,15.0000,3364.3275,1.6688,0.0584
1,60,256,15.0000,3364.7605,1.6690,0.0967
2,60,256,15.0000,3380.9583,1.6771,0.0296
3,60,256,15.0000,3380.4105,1.6768,0.0293
0,60,256,16.0000,3641.1677,1.8061,0.0713
1,60,256,16.0000,3639.9305,1.8055,0.0860
2,60,256,16.0000,3665.7442,1.8183,0.0460
3,60,256,16.0000,3666.4533,1.8187,0.0271
0,60,256,17.0000,3871.9400,1.9206,0.1204
1,60,256,17.0000,3871.0965,1.9202,0.1311
2,60,256,17.0000,3894.7619,1.9319,0.0308
3,60,256,17.0000,3894.0372,1.9316,0.0321
0,60,256,18.0000,4029.6152,1.9988,0.4508
1,60,256,18.0000,4044.5455,2.0062,0.0776
2,60,256,18.0000,4056.1192,2.0120,0.0132
3,60,256,18.0000,4054.2134,2.0110,0.0384
0,60,256,19.0000,4317.8183,2.1418,0.7014
1,60,256,19.0000,4302.7332,2.1343,1.0525
2,60,256,19.0000,4337.4947,2.1515,0.0659
3,60,256,19.0000,4338.2048,2.1519,0.0431
0,60,256,20.0000,4562.7703,2.2633,0.2734
1,60,256,20.0000,4568.2066,2.2660,0.1659
2,60,256,20.0000,4529.9512,2.2470,0.0239
3,60,256,20.0000,4533.4349,2.2487,0.0446
0,60,256,21.0000,4776.5868,2.3693,0.6117
1,60,256,21.0000,4785.5475,2.3738,0.4702
2,60,256,21.0000,4736.8091,2.3496,0.0156
3,60,256,21.0000,4762.3602,2.3623,0.0525
0,60,256,22.0000,4899.6119,2.4304,2.5809
1,60,256,22.0000,4953.2551,2.4570,1.5741
2,60,256,22.0000,4976.2270,2.4684,0.0054
3,60,256,22.0000,4995.9278,2.4781,0.0525
0,60,256,23.0000,4692.0669,2.3274,9.0936
1,60,256,23.0000,4813.3157,2.3876,6.7463
2,60,256,23.0000,5112.0249,2.5357,0.0626
3,60,256,23.0000,5126.1606,2.5427,0.0521
