port,duration,pkt_size,rate,mbps,mpps,loss
2,60,512,43.0000,10106.8228,2.4869,0.0421
3,60,512,43.0000,10107.2354,2.4870,0.0413
0,60,512,44.0000,9349.9527,2.3007,11.1488
1,60,512,44.0000,10026.7572,2.4672,4.7000
2,60,512,44.0000,10512.0454,2.5866,0.0482
3,60,512,44.0000,10512.0557,2.5866,0.0540
0,60,512,45.0000,9512.2363,2.3406,11.6532
1,60,512,45.0000,9992.3636,2.4588,7.1846
2,60,512,45.0000,10756.0805,2.6467,0.0582
3,60,512,45.0000,10760.5159,2.6478,0.0487
0,60,512,46.0000,9142.6202,2.2497,15.5085
1,60,512,46.0000,9850.6418,2.4239,8.9504
2,60,512,46.0000,10810.8015,2.6601,0.0729
3,60,512,46.0000,10816.6268,2.6616,0.0527
0,60,512,47.0000,9576.9688,2.3565,14.8352
1,60,512,47.0000,10148.5081,2.4972,9.7394
2,60,512,47.0000,11239.2576,2.7656,0.0631
3,60,512,47.0000,11242.0461,2.7663,0.0379
0,60,512,48.0000,9655.8385,2.3759,15.8764
1,60,512,48.0000,10017.0946,2.4648,12.7219
2,60,512,48.0000,11474.5746,2.8235,0.0538
3,60,512,48.0000,11474.7291,2.8235,0.0457
0,60,512,49.0000,9160.0439,2.2539,20.5243
1,60,512,49.0000,9688.1946,2.3839,15.9321
2,60,512,49.0000,11521.8594,2.8351,0.0609
3,60,512,49.0000,11523.7985,2.8356,0.0409
0,60,512,50.0000,9351.3093,2.3010,21.7987
1,60,512,50.0000,10032.3493,2.4686,16.0887
2,60,512,50.0000,11948.0329,2.9400,0.1019
3,60,512,50.0000,11951.8860,2.9409,0.0660
0,60,512,51.0000,9477.5339,2.3321,22.2640
1,60,512,51.0000,9980.5727,2.4558,18.1279
2,60,512,51.0000,12185.2366,2.9983,0.0695
3,60,512,51.0000,12187.1915,2.9988,0.0492
0,60,512,52.0000,9434.6183,2.3215,22.8492
1,60,512,52.0000,9963.3241,2.4516,18.5117
2,60,512,52.0000,12224.4411,3.0080,0.0674
3,60,512,52.0000,12224.9670,3.0081,0.0499
0,60,512,53.0000,9478.1757,2.3322,25.2044
1,60,512,53.0000,9946.1631,2.4474,21.5025
2,60,512,53.0000,12667.0093,3.1169,0.0851
3,60,512,53.0000,12668.6927,3.1173,0.0605
0,60,512,54.0000,9594.6293,2.3609,25.7198
1,60,512,54.0000,9867.4820,2.4280,23.6024
2,60,512,54.0000,12925.5576,3.1805,0.0724
3,60,512,54.0000,12924.2745,3.1802,0.0477
0,60,512,55.0000,9141.5074,2.2494,29.2807
1,60,512,55.0000,9828.5640,2.4184,23.9513
2,60,512,55.0000,12938.4868,3.1837,0.0659
3,60,512,55.0000,12924.4695,3.1802,0.0720
0,60,512,56.0000,9715.4786,2.3906,27.3903
1,60,512,56.0000,10169.3613,2.5023,23.9908
2,60,512,56.0000,13393.3997,3.2956,0.0859
3,60,512,56.0000,13369.6109,3.2898,0.0914
0,60,512,57.0000,9395.9367,2.3120,31.0804
1,60,512,57.0000,9992.1968,2.4587,26.6929
2,60,512,57.0000,13642.4372,3.3569,0.0840
3,60,512,57.0000,13621.8818,3.3518,0.0758
0,60,512,58.0000,9251.0389,2.2763,32.1425
1,60,512,58.0000,9611.6786,2.3651,29.4922
2,60,512,58.0000,13614.9385,3.3501,0.0937
3,60,512,58.0000,13615.2105,3.3502,0.0858
0,60,512,59.0000,9590.3857,2.3598,32.0003
1,60,512,59.0000,10025.8078,2.4670,28.9070
2,60,512,59.0000,14087.2152,3.4663,0.0992
3,60,512,59.0000,14088.8808,3.4668,0.0890
0,60,512,60.0000,9502.1631,2.3381,33.7350
1,60,512,60.0000,10166.2385,2.5015,29.0872
2,60,512,60.0000,14312.2121,3.5217,0.1553
3,60,512,60.0000,14319.9822,3.5236,0.1010
0,60,1024,1.0000,241.3273,0.0296,0.0000
1,60,1024,1.0000,241.3273,0.0296,0.0000
2,60,1024,1.0000,241.3276,0.0296,0.0000
3,60,1024,1.0000,241.3276,0.0296,0.0000
0,60,1024,2.0000,490.8449,0.0602,0.0000
1,60,1024,2.0000,490.8362,0.0602,0.0000
